일자,상승,하락
201101,171,19
201102,167,9
201103,94,19
201104,66,27
201105,96,48
201106,100,28
201107,58,34
201108,88,11
201109,68,15
201110,47,27
201111,36,29
201112,72,51
201201,67,23
201202,52,16
201203,55,31
201204,30,45
201205,32,30
201206,41,34
201207,35,63
201208,52,84
201209,34,48
201210,51,58
201211,61,51
201212,57,51
201301,46,66
201302,63,38
201303,64,51
201304,70,19
201305,64,21
201306,53,44
201307,57,41
201308,68,36
201309,76,25
201310,92,26
201311,66,25
201312,102,26
201401,123,24
201402,129,24
201403,115,14
201404,57,32
201405,55,31
201406,58,27
201407,59,22
201408,79,10
201409,74,11
201410,62,10
201411,103,29
201412,85,23
201501,60,7
201502,83,10
201503,124,10
201504,127,13
201505,76,7
201506,138,5
201507,92,10
201508,109,9
201509,103,8
201510,105,6
201511,136,14
201512,117,25
